"riding_id","party_name","slope","intercept"
"Argenteuil-La Petite-Nation","New Democratic",1,5.04
"Argenteuil-La Petite-Nation","Bloc Québécois",1,13.98
"Argenteuil-La Petite-Nation","Conservative",1,-20.79
"Argenteuil-La Petite-Nation","Liberal",1,3.79000000000001
"Aurora-Oak Ridges-Richmond Hill","New Democratic",1,-14.02
"Aurora-Oak Ridges-Richmond Hill","Conservative",1,13.28
"Aurora-Oak Ridges-Richmond Hill","Liberal",1,7.87
"Aurora-Oak Ridges-Richmond Hill","Green",1,-2.15
"Avalon","New Democratic",1,-5.3
"Avalon","Liberal",1,16.43
"Avalon","Green",1,-2.89
"Avalon","Conservative",1,-20.81
"Avignon-La Mitis-Matane-Matapédia","Conservative",1,-25.78
"Avignon-La Mitis-Matane-Matapédia","New Democratic",1,0.460000000000001
"Avignon-La Mitis-Matane-Matapédia","Bloc Québécois",1,16.35
"Avignon-La Mitis-Matane-Matapédia","Liberal",1,0.0799999999999983
"Avignon-La Mitis-Matane-Matapédia","Green",1,-2.43
"Banff-Airdrie","Conservative",1,31.46
"Banff-Airdrie","New Democratic",1,-12.95
"Banff-Airdrie","Liberal",1,-13.39
"Banff-Airdrie","Green",1,0.34
"Barrie-Innisfil","Green",1,0.61
"Barrie-Innisfil","Liberal",1,-2.36
"Barrie-Innisfil","Conservative",1,14.5
"Barrie-Innisfil","New Democratic",1,-7.95
"Barrie-Springwater-Oro-Medonte","Conservative",1,9.83
"Barrie-Springwater-Oro-Medonte","Liberal",1,2.1
"Barrie-Springwater-Oro-Medonte","New Democratic",1,-9.44
"Barrie-Springwater-Oro-Medonte","Green",1,1.81
"Battle River-Crowfoot","Liberal",1,-30.1
"Battle River-Crowfoot","Green",1,-0.25
"Battle River-Crowfoot","New Democratic",1,-13.19
"Battle River-Crowfoot","Conservative",1,49
"Battlefords-Lloydminster","Conservative",1,29.09
"Battlefords-Lloydminster","New Democratic",1,-2.13
"Battlefords-Lloydminster","Liberal",1,-22.97
"Battlefords-Lloydminster","Green",1,-1.73
"Bay of Quinte","Conservative",1,2.36
"Bay of Quinte","Liberal",1,11.27
"Bay of Quinte","Green",1,-1.22
"Bay of Quinte","New Democratic",1,-7.6
"Beaches-East York","Conservative",1,-15.48
"Beaches-East York","New Democratic",1,11.09
"Beaches-East York","Liberal",1,9.98
"Beaches-East York","Green",1,-0.85
"Beauce","Liberal",1,-17.21
"Beauce","Green",1,-1.74
"Beauce","New Democratic",1,-9.99
"Beauce","Conservative",1,26.98
"Beauce","Bloc Québécois",1,2.75
"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","Liberal",1,-12.58
"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","New Democratic",1,-1.27
"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","Green",1,-1.73
"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","Conservative",1,1.62
"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","Bloc Québécois",1,14.47
"Beauport-Limoilou","Conservative",1,-1.33
"Beauport-Limoilou","Liberal",1,-14.06
"Beauport-Limoilou","Green",1,-1.02
"Beauport-Limoilou","Bloc Québécois",1,10.1
"Beauport-Limoilou","New Democratic",1,5.75
"Beauséjour","Conservative",1,-20.54
"Beauséjour","Liberal",1,29.55
"Beauséjour","New Democratic",1,-4.6
"Beauséjour","Green",1,1.06
"Bellechasse-Les Etchemins-Lévis","Green",1,-0.18
"Bellechasse-Les Etchemins-Lévis","Bloc Québécois",1,6.86
"Bellechasse-Les Etchemins-Lévis","Liberal",1,-18.76
"Bellechasse-Les Etchemins-Lévis","New Democratic",1,-6.13
"Bellechasse-Les Etchemins-Lévis","Conservative",1,19.01
"Beloeil-Chambly","Conservative",1,-22.62
"Beloeil-Chambly","Green",1,-1.18
"Beloeil-Chambly","Liberal",1,-10.13
"Beloeil-Chambly","New Democratic",1,11.34
"Beloeil-Chambly","Bloc Québécois",1,23.01
"Berthier-Maskinongé","Conservative",1,-21.71
"Berthier-Maskinongé","Liberal",1,-19.19
"Berthier-Maskinongé","New Democratic",1,22.44
"Berthier-Maskinongé","Green",1,-1.87
"Berthier-Maskinongé","Bloc Québécois",1,21.13
"Bonavista-Burin-Trinity","New Democratic",1,-12.44
"Bonavista-Burin-Trinity","Liberal",1,42.33
"Bonavista-Burin-Trinity","Conservative",1,-21.84
"Bonavista-Burin-Trinity","Green",1,-2.58
"Bourassa","New Democratic",1,-4.79
"Bourassa","Liberal",1,14.59
"Bourassa","Bloc Québécois",1,12.46
"Bourassa","Conservative",1,-22.62
"Bourassa","Green",1,-1.28
"Bow River","New Democratic",1,-14.48
"Bow River","Conservative",1,45.51
"Bow River","Green",1,-1.59
"Bow River","Liberal",1,-25.79
"Brampton Centre","Conservative",1,1.76
"Brampton Centre","Liberal",1,9.17
"Brampton Centre","New Democratic",1,-4.61
"Brampton Centre","Green",1,-1.3
"Brampton East","New Democratic",1,3.28
"Brampton East","Green",1,-2.3
"Brampton East","Conservative",1,-8.37
"Brampton East","Liberal",1,12.85
"Brampton North","New Democratic",1,-3.23
"Brampton North","Conservative",1,1.08
"Brampton North","Green",1,-1.53
"Brampton North","Liberal",1,8.9
"Brampton South","New Democratic",1,-9.08
"Brampton South","Conservative",1,3.13
"Brampton South","Green",1,-1.21
"Brampton South","Liberal",1,12.62
"Brampton West","New Democratic",1,-7.29
"Brampton West","Liberal",1,16.42
"Brampton West","Green",1,-1.88
"Brampton West","Conservative",1,-1.8
"Brandon-Souris","Green",1,2.72
"Brandon-Souris","Liberal",1,-2.16
"Brandon-Souris","Conservative",1,18.36
"Brandon-Souris","New Democratic",1,-13.46
"Brantford-Brant","Liberal",1,-8.77
"Brantford-Brant","Green",1,-0.93
"Brantford-Brant","New Democratic",1,5.11
"Brantford-Brant","Conservative",1,8.98
"Brome-Missisquoi","New Democratic",1,4.78
"Brome-Missisquoi","Conservative",1,-20.45
"Brome-Missisquoi","Green",1,-1.08
"Brome-Missisquoi","Liberal",1,4.41
"Brome-Missisquoi","Bloc Québécois",1,12.8
"Brossard-Saint-Lambert","Liberal",1,10.86
"Brossard-Saint-Lambert","Green",1,-1.53
"Brossard-Saint-Lambert","New Democratic",1,4.85
"Brossard-Saint-Lambert","Conservative",1,-19.31
"Brossard-Saint-Lambert","Bloc Québécois",1,5.93
"Bruce-Grey-Owen Sound","Green",1,-0.0800000000000001
"Bruce-Grey-Owen Sound","New Democratic",1,-8.6
"Bruce-Grey-Owen Sound","Liberal",1,-0.630000000000003
"Bruce-Grey-Owen Sound","Conservative",1,14.77
"Burlington","New Democratic",1,-10.63
"Burlington","Liberal",1,6.51
"Burlington","Conservative",1,10.57
"Burlington","Green",1,-0.99
"Burnaby North-Seymour","New Democratic",1,9.88
"Burnaby North-Seymour","Green",1,1.84
"Burnaby North-Seymour","Conservative",1,-4.07
"Burnaby North-Seymour","Liberal",1,-3.38
"Burnaby South","Liberal",1,-5.59
"Burnaby South","Conservative",1,-4.8
"Burnaby South","New Democratic",1,15.34
"Burnaby South","Green",1,-0.58
"Bécancour-Nicolet-Saurel","Liberal",1,-15.21
"Bécancour-Nicolet-Saurel","Green",1,-1.17
"Bécancour-Nicolet-Saurel","Bloc Québécois",1,35.31
"Bécancour-Nicolet-Saurel","New Democratic",1,2.36
"Bécancour-Nicolet-Saurel","Conservative",1,-20.5
"Calgary Centre","New Democratic",1,-14.16
"Calgary Centre","Conservative",1,13.39
"Calgary Centre","Liberal",1,7.05
"Calgary Centre","Green",1,-1.23
"Calgary Confederation","New Democratic",1,-12.59
"Calgary Confederation","Conservative",1,14
"Calgary Confederation","Liberal",1,4.06
"Calgary Confederation","Green",1,-0.22
"Calgary Forest Lawn","New Democratic",1,-9.97
"Calgary Forest Lawn","Liberal",1,-3.51
"Calgary Forest Lawn","Conservative",1,16.07
"Calgary Forest Lawn","Green",1,-0.44
"Calgary Heritage","Liberal",1,-13.5
"Calgary Heritage","Green",1,-1.3
"Calgary Heritage","New Democratic",1,-12.45
"Calgary Heritage","Conservative",1,31.86
"Calgary Midnapore","Green",1,-0.77
"Calgary Midnapore","Liberal",1,-16.82
"Calgary Midnapore","Conservative",1,34.82
"Calgary Midnapore","New Democratic",1,-12
"Calgary Nose Hill","New Democratic",1,-10.87
"Calgary Nose Hill","Green",1,-0.89
"Calgary Nose Hill","Conservative",1,28.13
"Calgary Nose Hill","Liberal",1,-12.58
"Calgary Rocky Ridge","Green",1,-1.28
"Calgary Rocky Ridge","Liberal",1,-7.81
"Calgary Rocky Ridge","Conservative",1,28.49
"Calgary Rocky Ridge","New Democratic",1,-13.94
"Calgary Shepard","New Democratic",1,-12.9
"Calgary Shepard","Green",1,-0.82
"Calgary Shepard","Liberal",1,-14.78
"Calgary Shepard","Conservative",1,33.96
"Calgary Signal Hill","Liberal",1,-8.91
"Calgary Signal Hill","New Democratic",1,-14.73
"Calgary Signal Hill","Conservative",1,28.64
"Calgary Signal Hill","Green",1,-0.89
"Calgary Skyview","Liberal",1,6.41
"Calgary Skyview","Conservative",1,7.84
"Calgary Skyview","Green",1,-1.55
"Calgary Skyview","New Democratic",1,-11.72
"Cambridge","New Democratic",1,-5.86
"Cambridge","Liberal",1,3.7
"Cambridge","Conservative",1,6.74
"Cambridge","Green",1,-0.2
"Cape Breton-Canso","Conservative",1,-17.46
"Cape Breton-Canso","Green",1,-0.47
"Cape Breton-Canso","New Democratic",1,-11.53
"Cape Breton-Canso","Liberal",1,34.92
"Cardigan","New Democratic",1,-8.6
"Cardigan","Conservative",1,-15.76
"Cardigan","Liberal",1,25.56
"Cardigan","Green",1,2.95
"Cariboo-Prince George","Green",1,0.0300000000000002
"Cariboo-Prince George","Conservative",1,4.73
"Cariboo-Prince George","Liberal",1,-7.98
"Cariboo-Prince George","New Democratic",1,6.1
"Carleton","Liberal",1,4.27
"Carleton","Green",1,-0.169999999999999
"Carleton","New Democratic",1,-13.6
"Carleton","Conservative",1,14.95
"Carlton Trail-Eagle Creek","Liberal",1,-25.1
"Carlton Trail-Eagle Creek","New Democratic",1,-1.07
"Carlton Trail-Eagle Creek","Conservative",1,32.81
"Carlton Trail-Eagle Creek","Green",1,-1.19
"Central Nova","Green",1,0.71
"Central Nova","Conservative",1,-6.11
"Central Nova","New Democratic",1,-9.49
"Central Nova","Liberal",1,19.06
"Central Okanagan-Similkameen-Nicola","New Democratic",1,-0.43
"Central Okanagan-Similkameen-Nicola","Conservative",1,7.65
"Central Okanagan-Similkameen-Nicola","Liberal",1,-2.26
"Central Okanagan-Similkameen-Nicola","Green",1,0.5
"Charlesbourg-Haute-Saint-Charles","New Democratic",1,0.34
"Charlesbourg-Haute-Saint-Charles","Liberal",1,-16.25
"Charlesbourg-Haute-Saint-Charles","Bloc Québécois",1,7.65
"Charlesbourg-Haute-Saint-Charles","Green",1,-1.27
"Charlesbourg-Haute-Saint-Charles","Conservative",1,10.33
"Charleswood-St. James-Assiniboia-Headingley","Liberal",1,12.55
"Charleswood-St. James-Assiniboia-Headingley","Green",1,-0.51
"Charleswood-St. James-Assiniboia-Headingley","Conservative",1,7.13
"Charleswood-St. James-Assiniboia-Headingley","New Democratic",1,-13.7
"Charlottetown","Green",1,2.34
"Charlottetown","New Democratic",1,3.41
"Charlottetown","Conservative",1,-17.09
"Charlottetown","Liberal",1,16.8
"Chatham-Kent-Leamington","Conservative",1,9.8
"Chatham-Kent-Leamington","Liberal",1,-2.23999999999999
"Chatham-Kent-Leamington","Green",1,-0.75
"Chatham-Kent-Leamington","New Democratic",1,-1.36
"Chicoutimi-Le Fjord","Conservative",1,-15.31
"Chicoutimi-Le Fjord","New Democratic",1,9.99
"Chicoutimi-Le Fjord","Green",1,-1.36
"Chicoutimi-Le Fjord","Liberal",1,-8.38
"Chicoutimi-Le Fjord","Bloc Québécois",1,15.85
"Chilliwack-Hope","Liberal",1,-5.69
"Chilliwack-Hope","Conservative",1,10.42
"Chilliwack-Hope","New Democratic",1,-1.53
"Chilliwack-Hope","Green",1,1.28
"Churchill-Keewatinook Aski","Green",1,-1.64
"Churchill-Keewatinook Aski","Conservative",1,-21.59
"Churchill-Keewatinook Aski","New Democratic",1,25.31
"Churchill-Keewatinook Aski","Liberal",1,2.53
"Châteauguay-Lacolle","Liberal",1,-0.369999999999997
"Châteauguay-Lacolle","Green",1,-1.53
"Châteauguay-Lacolle","Conservative",1,-20.7
"Châteauguay-Lacolle","Bloc Québécois",1,19.69
"Châteauguay-Lacolle","New Democratic",1,3.42
"Cloverdale-Langley City","Conservative",1,2.86
"Cloverdale-Langley City","Liberal",1,6.05
"Cloverdale-Langley City","New Democratic",1,-4.08
"Cloverdale-Langley City","Green",1,0.63
"Coast of Bays-Central-Notre Dame","New Democratic",1,-13.59
"Coast of Bays-Central-Notre Dame","Green",1,-2.67
"Coast of Bays-Central-Notre Dame","Conservative",1,-13.63
"Coast of Bays-Central-Notre Dame","Liberal",1,35.35
"Compton-Stanstead","Bloc Québécois",1,16.03
"Compton-Stanstead","Conservative",1,-19.41
"Compton-Stanstead","New Democratic",1,7.68
"Compton-Stanstead","Green",1,-1.49
"Compton-Stanstead","Liberal",1,-2.59
"Coquitlam-Port Coquitlam","Green",1,0.24
"Coquitlam-Port Coquitlam","Conservative",1,0.0899999999999999
"Coquitlam-Port Coquitlam","Liberal",1,-4.19
"Coquitlam-Port Coquitlam","New Democratic",1,7.52
"Courtenay-Alberni","Liberal",1,-17.69
"Courtenay-Alberni","Green",1,8.31
"Courtenay-Alberni","New Democratic",1,18.33
"Courtenay-Alberni","Conservative",1,-3.69
"Cowichan-Malahat-Langford","New Democratic",1,16.21
"Cowichan-Malahat-Langford","Green",1,13.5
"Cowichan-Malahat-Langford","Liberal",1,-15.7
"Cowichan-Malahat-Langford","Conservative",1,-9.1
"Cumberland-Colchester","Liberal",1,24.26
"Cumberland-Colchester","Green",1,0.13
"Cumberland-Colchester","Conservative",1,-5.46
"Cumberland-Colchester","New Democratic",1,-14.02
"Cypress Hills-Grasslands","Green",1,-0.69
"Cypress Hills-Grasslands","Conservative",1,37.28
"Cypress Hills-Grasslands","Liberal",1,-24.61
"Cypress Hills-Grasslands","New Democratic",1,-6.52
"Dartmouth-Cole Harbour","Green",1,-0.0299999999999998
"Dartmouth-Cole Harbour","Liberal",1,18.7
"Dartmouth-Cole Harbour","Conservative",1,-17.88
"Dartmouth-Cole Harbour","New Democratic",1,4.68
"Dauphin-Swan River-Neepawa","Green",1,0.4
"Dauphin-Swan River-Neepawa","New Democratic",1,-7.48
"Dauphin-Swan River-Neepawa","Liberal",1,-9.96
"Dauphin-Swan River-Neepawa","Conservative",1,14.43
"Davenport","New Democratic",1,21.63
"Davenport","Conservative",1,-21.36
"Davenport","Green",1,-0.34
"Davenport","Liberal",1,4.79000000000001
"Delta","Green",1,-0.26
"Delta","Liberal",1,9.65000000000001
"Delta","New Democratic",1,-4.81
"Delta","Conservative",1,0.870000000000001
"Desnethé-Missinippi-Churchill River","New Democratic",1,14.42
"Desnethé-Missinippi-Churchill River","Liberal",1,-5.59
"Desnethé-Missinippi-Churchill River","Conservative",1,-1.77
"Desnethé-Missinippi-Churchill River","Green",1,-1.6
"Don Valley East","New Democratic",1,-9.37
"Don Valley East","Green",1,-0.84
"Don Valley East","Conservative",1,-2.68
"Don Valley East","Liberal",1,18.35
"Don Valley North","New Democratic",1,-11.2
"Don Valley North","Green",1,-1.2
"Don Valley North","Liberal",1,11.95
"Don Valley North","Conservative",1,5.91
"Don Valley West","Conservative",1,5.69
"Don Valley West","Green",1,-1.77
"Don Valley West","Liberal",1,14.31
"Don Valley West","New Democratic",1,-13.71
"Dorval-Lachine-LaSalle","Liberal",1,15.42
"Dorval-Lachine-LaSalle","Conservative",1,-20.83
"Dorval-Lachine-LaSalle","New Democratic",1,1.82
"Dorval-Lachine-LaSalle","Bloc Québécois",1,5.11
"Dorval-Lachine-LaSalle","Green",1,-1.15
"Drummond","Bloc Québécois",1,18.13
"Drummond","New Democratic",1,10.77
"Drummond","Conservative",1,-14.21
"Drummond","Liberal",1,-12.97
"Drummond","Green",1,-1.03
"Dufferin-Caledon","Conservative",1,14.37
"Dufferin-Caledon","Liberal",1,-0.359999999999999
"Dufferin-Caledon","Green",1,3.9
"Dufferin-Caledon","New Democratic",1,-12.45
"Durham","Liberal",1,-3.72
"Durham","New Democratic",1,-3.7
"Durham","Conservative",1,13.22
"Durham","Green",1,-0.91
"Edmonton Centre","Green",1,-0.81
"Edmonton Centre","New Democratic",1,4.72
"Edmonton Centre","Conservative",1,3.04
"Edmonton Centre","Liberal",1,-2.27999999999999
"Edmonton Griesbach","Liberal",1,-17.78
"Edmonton Griesbach","Green",1,-1.08
"Edmonton Griesbach","New Democratic",1,14.29
"Edmonton Griesbach","Conservative",1,8.05
"Edmonton Manning","New Democratic",1,3.91
"Edmonton Manning","Green",1,-1.23
"Edmonton Manning","Liberal",1,-11.9
"Edmonton Manning","Conservative",1,13.33
"Edmonton Mill Woods","Liberal",1,1.77
"Edmonton Mill Woods","New Democratic",1,-6.95
"Edmonton Mill Woods","Green",1,-1.22
"Edmonton Mill Woods","Conservative",1,9.15
"Edmonton Riverbend","New Democratic",1,-2.68
"Edmonton Riverbend","Conservative",1,17.98
"Edmonton Riverbend","Liberal",1,-9.29
"Edmonton Riverbend","Green",1,-1.22
"Edmonton Strathcona","Liberal",1,-18.74
"Edmonton Strathcona","Green",1,-1.13
"Edmonton Strathcona","Conservative",1,-0.630000000000003
"Edmonton Strathcona","New Democratic",1,24.23
"Edmonton West","New Democratic",1,-6.72
"Edmonton West","Liberal",1,-4.58
"Edmonton West","Conservative",1,17.42
"Edmonton West","Green",1,-1.49
"Edmonton-Wetaskiwin","New Democratic",1,-10.01
"Edmonton-Wetaskiwin","Liberal",1,-18.02
"Edmonton-Wetaskiwin","Green",1,-1.1
"Edmonton-Wetaskiwin","Conservative",1,33.86
"Eglinton-Lawrence","New Democratic",1,-13.45
"Eglinton-Lawrence","Conservative",1,10.73
"Eglinton-Lawrence","Liberal",1,9.42
"Eglinton-Lawrence","Green",1,-2
"Egmont","Liberal",1,9.78
"Egmont","Conservative",1,-2.96
"Egmont","New Democratic",1,-0.550000000000001
"Egmont","Green",1,-0.81
"Elgin-Middlesex-London","Green",1,-0.3
"Elgin-Middlesex-London","New Democratic",1,-4.32
"Elgin-Middlesex-London","Conservative",1,17.31
"Elgin-Middlesex-London","Liberal",1,-8.48
"Elmwood-Transcona","Liberal",1,-9.96
"Elmwood-Transcona","New Democratic",1,14.41
"Elmwood-Transcona","Green",1,-1.07
"Elmwood-Transcona","Conservative",1,2.09
"Esquimalt-Saanich-Sooke","Liberal",1,-12.12
"Esquimalt-Saanich-Sooke","Green",1,16.51
"Esquimalt-Saanich-Sooke","New Democratic",1,15.28
"Esquimalt-Saanich-Sooke","Conservative",1,-14.41
"Essex","Liberal",1,-18.59
"Essex","Conservative",1,3.78
"Essex","Green",1,-1.55
"Essex","New Democratic",1,21.69
"Etobicoke Centre","Liberal",1,13.3
"Etobicoke Centre","Green",1,-2.04
"Etobicoke Centre","New Democratic",1,-11.82
"Etobicoke Centre","Conservative",1,5.42
"Etobicoke North","Green",1,-2.18
"Etobicoke North","New Democratic",1,-7.32
"Etobicoke North","Liberal",1,22.94
"Etobicoke North","Conservative",1,-8.91
"Etobicoke-Lakeshore","Green",1,-1.09
"Etobicoke-Lakeshore","Conservative",1,0.539999999999996
"Etobicoke-Lakeshore","Liberal",1,14.23
"Etobicoke-Lakeshore","New Democratic",1,-8.83
"Flamborough-Glanbrook","Green",1,-0.0699999999999998
"Flamborough-Glanbrook","Conservative",1,11.57
"Flamborough-Glanbrook","Liberal",1,-0.329999999999998
"Flamborough-Glanbrook","New Democratic",1,-5.72
"Fleetwood-Port Kells","New Democratic",1,1.73
"Fleetwood-Port Kells","Liberal",1,7.43
"Fleetwood-Port Kells","Conservative",1,-2.64
"Fleetwood-Port Kells","Green",1,-1.06
"Foothills","New Democratic",1,-13.3
"Foothills","Conservative",1,43.79
"Foothills","Green",1,-0.18
"Foothills","Liberal",1,-26.11
"Fort McMurray-Cold Lake","Green",1,-1.86
"Fort McMurray-Cold Lake","Conservative",1,28.65
"Fort McMurray-Cold Lake","Liberal",1,-11.11
"Fort McMurray-Cold Lake","New Democratic",1,-11.98
"Fredericton","Conservative",1,-3.49
"Fredericton","Green",1,8.99
"Fredericton","Liberal",1,9.79000000000001
"Fredericton","New Democratic",1,-9.84
"Fundy Royal","Liberal",1,1.4
"Fundy Royal","New Democratic",1,-2.21
"Fundy Royal","Conservative",1,5.18
"Fundy Royal","Green",1,0.46
"Gaspésie-Les Îles-de-la-Madeleine","Liberal",1,-0.739999999999995
"Gaspésie-Les Îles-de-la-Madeleine","Conservative",1,-25.86
"Gaspésie-Les Îles-de-la-Madeleine","Green",1,-2.42
"Gaspésie-Les Îles-de-la-Madeleine","Bloc Québécois",1,16.25
"Gaspésie-Les Îles-de-la-Madeleine","New Democratic",1,12.79
"Gatineau","New Democratic",1,6.83
"Gatineau","Green",1,-1.8
"Gatineau","Conservative",1,-23.72
"Gatineau","Bloc Québécois",1,4.77
"Gatineau","Liberal",1,14.29
"Glengarry-Prescott-Russell","Liberal",1,13.81
"Glengarry-Prescott-Russell","Green",1,-1.63
"Glengarry-Prescott-Russell","New Democratic",1,-11.8
"Glengarry-Prescott-Russell","Conservative",1,4.5
"Grande Prairie-Mackenzie","Conservative",1,41
"Grande Prairie-Mackenzie","Green",1,-0.29
"Grande Prairie-Mackenzie","Liberal",1,-24.81
"Grande Prairie-Mackenzie","New Democratic",1,-11.59
"Guelph","New Democratic",1,-7.72
"Guelph","Conservative",1,-5.56
"Guelph","Green",1,7.89
"Guelph","Liberal",1,9.63
"Haldimand-Norfolk","Conservative",1,12.23
"Haldimand-Norfolk","Liberal",1,-2.88
"Haldimand-Norfolk","New Democratic",1,-6.11
"Haldimand-Norfolk","Green",1,-0.11
"Haliburton-Kawartha Lakes-Brock","Green",1,0.56
"Haliburton-Kawartha Lakes-Brock","Liberal",1,-7.72
"Haliburton-Kawartha Lakes-Brock","Conservative",1,12.92
"Haliburton-Kawartha Lakes-Brock","New Democratic",1,-0.300000000000001
"Halifax","Liberal",1,12.26
"Halifax","Conservative",1,-23.3
"Halifax","New Democratic",1,16.4
"Halifax","Green",1,-0.14
"Halifax West","Liberal",1,29.18
"Halifax West","New Democratic",1,-7.96
"Halifax West","Conservative",1,-16.26
"Halifax West","Green",1,0.51
"Hamilton Centre","Liberal",1,-6.08
"Hamilton Centre","New Democratic",1,25.83
"Hamilton Centre","Green",1,0.9
"Hamilton Centre","Conservative",1,-17.26
"Hamilton East-Stoney Creek","Liberal",1,-0.479999999999997
"Hamilton East-Stoney Creek","Conservative",1,-6.65
"Hamilton East-Stoney Creek","Green",1,-0.84
"Hamilton East-Stoney Creek","New Democratic",1,12.98
"Hamilton Mountain","Conservative",1,-6.21
"Hamilton Mountain","Green",1,-0.89
"Hamilton Mountain","New Democratic",1,16.16
"Hamilton Mountain","Liberal",1,-5.98
"Hamilton West-Ancaster-Dundas","New Democratic",1,-3.46
"Hamilton West-Ancaster-Dundas","Liberal",1,8.21
"Hamilton West-Ancaster-Dundas","Green",1,0.800000000000001
"Hamilton West-Ancaster-Dundas","Conservative",1,-0.0799999999999983
"Hastings-Lennox and Addington","New Democratic",1,-6.98
"Hastings-Lennox and Addington","Green",1,-0.49
"Hastings-Lennox and Addington","Conservative",1,10.02
"Hastings-Lennox and Addington","Liberal",1,2.91
"Hochelaga","Conservative",1,-25.06
"Hochelaga","Green",1,-0.24
"Hochelaga","New Democratic",1,11.16
"Hochelaga","Liberal",1,-9.54
"Hochelaga","Bloc Québécois",1,23.05
"Honoré-Mercier","Green",1,-1.85
"Honoré-Mercier","Bloc Québécois",1,8.26
"Honoré-Mercier","Conservative",1,-19.86
"Honoré-Mercier","Liberal",1,17.08
"Honoré-Mercier","New Democratic",1,-3.32
"Hull-Aylmer","Liberal",1,11.9
"Hull-Aylmer","Bloc Québécois",1,1.87
"Hull-Aylmer","New Democratic",1,11.79
"Hull-Aylmer","Green",1,-1.56
"Hull-Aylmer","Conservative",1,-24.19
"Humber River-Black Creek","New Democratic",1,-8.99
"Humber River-Black Creek","Liberal",1,27.44
"Humber River-Black Creek","Green",1,-1.8
"Humber River-Black Creek","Conservative",1,-11.75
"Huron-Bruce","Liberal",1,0.240000000000002
"Huron-Bruce","Conservative",1,13.03
"Huron-Bruce","New Democratic",1,-6.78
"Huron-Bruce","Green",1,-1.03
"Joliette","New Democratic",1,5.96
"Joliette","Bloc Québécois",1,28.63
"Joliette","Green",1,-1.08
"Joliette","Liberal",1,-11.25
"Joliette","Conservative",1,-21.85
"Jonquière","Green",1,-2.07
"Jonquière","Bloc Québécois",1,18.62
"Jonquière","New Democratic",1,9.46
"Jonquière","Liberal",1,-10.99
"Jonquière","Conservative",1,-15.02
"Kamloops-Thompson-Cariboo","New Democratic",1,11.04
"Kamloops-Thompson-Cariboo","Conservative",1,3.34
"Kamloops-Thompson-Cariboo","Green",1,0.14
"Kamloops-Thompson-Cariboo","Liberal",1,-9.06
"Kanata-Carleton","Green",1,-0.74
"Kanata-Carleton","New Democratic",1,-12.92
"Kanata-Carleton","Liberal",1,11.82
"Kanata-Carleton","Conservative",1,7.3
"Kelowna-Lake Country","New Democratic",1,-5.64
"Kelowna-Lake Country","Conservative",1,7.84
"Kelowna-Lake Country","Liberal",1,6.69
"Kenora","Liberal",1,-3.97
"Kenora","Green",1,-1.8
"Kenora","Conservative",1,-3.45
"Kenora","New Democratic",1,14.15
"Kildonan-St. Paul","Conservative",1,7.93
"Kildonan-St. Paul","Liberal",1,3.19
"Kildonan-St. Paul","Green",1,-1.65
